currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate,reservationTerm
USD,0.0,0.0192,0.0192,eastus,US East,2021-11-01T00:00:00Z,00f78ce3-713d-4e81-8ff2-2d351a625ace,D2a v4/D2as v4 Low Priority,DZH318Z0CM2B,DZH318Z0CM2B/001L,Virtual Machines Dav4 Series,D2a v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2a_v4,,
USD,0.0,26.269,26.269,eastus,US East,2022-01-01T00:00:00Z,00fc017a-1880-59d5-bd07-da2bd08fbc36,M128ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/039H,Virtual Machines MSv2 Series,M128ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M128ms_v2,,
USD,0.0,133837.0,133837.0,eastus,US East,2021-01-01T00:00:00Z,00fc017a-1880-59d5-bd07-da2bd08fbc36,M128ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/039M,Virtual Machines MSv2 Series,M128ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_M128ms_v2,,1 Year
USD,0.0,0.4075,0.4075,eastus,US East,2023-11-01T00:00:00Z,0100efe6-9a7b-57f5-862b-8c424b356df4,Standard_M12ds_v3 Spot,DZH318Z0K7CZ,DZH318Z0K7CZ/010C,Virtual Machines Mdsv3 Medium Memory Series Linux,Standard_M12ds_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M12ds_v3,,
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,011800fb-8df2-5be3-ba85-3a3c583c7c92,D2ps v6,DZH318Z0G1G8,DZH318Z0G1G8/000F,Virtual Machines Dpsv6 Series Windows,D2ps v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2ps_v6,,
USD,0.0,0.606,0.606,eastus,US East,2023-09-01T00:00:00Z,011a096e-0157-568b-8789-6ae053ee0241,B16als v2,DZH318Z0K9JD,DZH318Z0K9JD/01NP,Basv2 Series Cloud Services,B16als v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_B16als_v2,,
USD,0.0,0.54,0.54,eastus,US East,2022-07-01T00:00:00Z,011d859e-691d-53e7-9938-26db172b9b89,D16plds v5 Low Priority,DZH318Z092QJ,DZH318Z092QJ/00F8,Virtual Machines Dpldsv5 Series Windows,Standard_D16plds_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16plds_v5,,
USD,0.0,3.616,3.616,eastus,US East,2022-06-01T00:00:00Z,013cb460-9dd7-5446-a171-bf2bae64af8b,DC32ds_v3,DZH318Z08NRF,DZH318Z08NRF/00H1,DCdsv3 Series Linux,standard_DC32ds_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC32ds_v3,,
USD,0.0,25341.0,25341.0,eastus,US East,2022-06-01T00:00:00Z,013cb460-9dd7-5446-a171-bf2bae64af8b,DC32ds_v3,DZH318Z08NRF,DZH318Z08NRF/00KT,DCdsv3 Series Linux,standard_DC32ds_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_DC32ds_v3,,1 Year
USD,0.0,0.912,0.912,eastus,US East,2024-08-01T00:00:00Z,0143342d-ee01-56d6-b220-a8c8f672ef84,DC16adsv6,DZH318Z0FG7C,DZH318Z0FG7C/0077,Virtual Machines DCadsv6 series,DC16adsv6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC16ads_v6,,
